
"OWNER","TABLE_NAME","COLUMN_NAME","COLUMN_ID","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE"
"RECON_TEST","AUDIT_LOG","AUDIT_ID",1,"NUMBER",22,,,"N"
"RECON_TEST","AUDIT_LOG","TABLE_NAME",2,"VARCHAR2",30,,,"Y"
"RECON_TEST","AUDIT_LOG","ACTION",3,"VARCHAR2",10,,,"Y"
"RECON_TEST","AUDIT_LOG","ACTOR",4,"VARCHAR2",30,,,"Y"
"RECON_TEST","AUDIT_LOG","LOGGED_AT",5,"DATE",7,,,"Y"
"RECON_TEST","DEPT","DEPTNO",1,"NUMBER",22,2,0,"N"
"RECON_TEST","DEPT","DNAME",2,"VARCHAR2",14,,,"N"
"RECON_TEST","DEPT","LOC",3,"VARCHAR2",13,,,"Y"
"RECON_TEST","EMP","EMPNO",1,"NUMBER",22,4,0,"N"
"RECON_TEST","EMP","ENAME",2,"VARCHAR2",10,,,"N"
"RECON_TEST","EMP","JOB",3,"VARCHAR2",9,,,"Y"
"RECON_TEST","EMP","MGR",4,"NUMBER",22,4,0,"Y"
"RECON_TEST","EMP","HIREDATE",5,"DATE",7,,,"Y"
"RECON_TEST","EMP","SAL",6,"NUMBER",22,7,2,"Y"
"RECON_TEST","EMP","COMM",7,"NUMBER",22,7,2,"Y"
"RECON_TEST","EMP","DEPTNO",8,"NUMBER",22,2,0,"Y"
"RECON_TEST","INVOICES","INVOICE_ID",1,"NUMBER",22,,,"N"
"RECON_TEST","INVOICES","CUSTOMER",2,"VARCHAR2",100,,,"N"
"RECON_TEST","INVOICES","NET_AMOUNT",3,"NUMBER",22,12,2,"N"
"RECON_TEST","INVOICES","VAT_RATE",4,"NUMBER",22,4,2,"Y"
"RECON_TEST","INVOICES","GROSS",5,"NUMBER",22,14,2,"Y"
"RECON_TEST","INVOICES","CREATED_AT",6,"TIMESTAMP(6) WITH LOCAL TIME ZONE",11,,6,"Y"
"RECON_TEST","LEGACY_NOTES","NOTE_ID",1,"NUMBER",22,10,0,"N"
"RECON_TEST","LEGACY_NOTES","BODY",2,"LONG",0,,,"Y"
"RECON_TEST","MV_DEPT_SALARIES","DNAME",1,"VARCHAR2",14,,,"N"
"RECON_TEST","MV_DEPT_SALARIES","HEADCOUNT",2,"NUMBER",22,,,"Y"
"RECON_TEST","MV_DEPT_SALARIES","TOTAL_SAL",3,"NUMBER",22,,,"Y"
"RECON_TEST","PRODUCT_SPECS","PRODUCT_ID",1,"NUMBER",22,10,0,"N"
"RECON_TEST","PRODUCT_SPECS","SPEC",2,"XMLTYPE",2000,,,"Y"
"RECON_TEST","PRODUCT_SPECS","MANUAL",3,"CLOB",4000,,,"Y"
"RECON_TEST","PRODUCT_SPECS","THUMBNAIL",4,"BLOB",4000,,,"Y"
"RECON_TEST","PRODUCT_SPECS","CHECKSUM",5,"RAW",32,,,"Y"
"RECON_TEST","SALES","SALE_ID",1,"NUMBER",22,10,0,"N"
"RECON_TEST","SALES","SALE_DATE",2,"DATE",7,,,"N"
"RECON_TEST","SALES","AMOUNT",3,"NUMBER",22,10,2,"Y"
"RECON_TEST","SALES","REGION",4,"VARCHAR2",20,,,"Y"
"RECON_TEST","STAGING_ROWS","ROW_ID",1,"NUMBER",22,10,0,"Y"
"RECON_TEST","STAGING_ROWS","PAYLOAD",2,"VARCHAR2",4000,,,"Y"
"RECON_TEST","V_EMP_DEPT","ENAME",1,"VARCHAR2",10,,,"N"
"RECON_TEST","V_EMP_DEPT","SAL",2,"NUMBER",22,7,2,"Y"
"RECON_TEST","V_EMP_DEPT","DNAME",3,"VARCHAR2",14,,,"Y"
"RECON_TEST","V_ORG_CHART","EMPNO",1,"NUMBER",22,4,0,"N"
"RECON_TEST","V_ORG_CHART","ENAME",2,"VARCHAR2",10,,,"N"
"RECON_TEST","V_ORG_CHART","MGR",3,"NUMBER",22,4,0,"Y"
"RECON_TEST","V_ORG_CHART","DEPTH",4,"NUMBER",22,,,"Y"
"RECON_TEST","V_ORG_CHART","CHAIN",5,"VARCHAR2",4000,,,"Y"
